"latitude","longitude","hh_number","malaria_prevention","id_household"
0.425873292063715,-63.9259351158175,5,"LLINs",10030099
0.476102888788734,-64.0684822611463,5,"IRS + LLINs",30050239
0.415256700196454,-64.0792888118717,6,"LLINs",50110123
0.461660907800007,-64.348534896522,5,"None",10020166
0.680354181118184,-64.2829024871083,5,"LLINs",20080257
0.637141933445567,-64.3541917801802,3,"IRS + LLINs",40040141
0.558420789502603,-63.9872445549332,3,"LLINs",20080263
0.640376861957153,-64.1776703749884,2,"IRS + LLINs",10060013
0.593165107905269,-64.0007542909068,4,"None",20060028
0.503349570157971,-64.3005543789869,11,"LLINs",50050218
0.701831991305063,-64.1860548375672,1,"IRS",10080041
0.640684157084581,-64.043410291441,3,"IRS + LLINs",20030137
0.703465470271311,-64.3420084004945,5,"None",50040102
0.435215686455344,-64.2200621928426,2,"None",50100061
0.533212582789538,-64.0189706023467,4,"LLINs",40060056
0.78830879541051,-63.9902784566461,5,"IRS",20020068
0.524614089750769,-63.976709644848,7,"IRS + LLINs",40070010
0.389587662068514,-63.939564621854,5,"IRS + LLINs",40050002
0.593092238311404,-64.1959146449949,6,"IRS + LLINs",30070136
0.782456600748145,-63.9406501989557,4,"None",50010025
0.740289510851852,-64.0517006781496,4,"None",50100151
0.60214675848301,-64.1787856495784,4,"LLINs",40010129
0.654181622391491,-64.1925991123378,5,"IRS + LLINs",30050313
0.580080088554244,-64.274019297505,4,"None",20120199
0.770901721104149,-64.0299094700104,4,"None",20110323
0.396061988076623,-64.1683816409619,4,"IRS + LLINs",40080007
0.578505863728262,-64.164671213151,3,"None",50030065
0.707006195508791,-64.3313698945201,4,"None",20120187
0.746475916283566,-64.2043772952797,4,"IRS + LLINs",40090116
0.760757652840342,-63.9657313374348,4,"None",50110049
0.720140607154022,-64.1236240288258,9,"IRS",10050133
0.42390057989845,-64.3549846680337,6,"LLINs",50080008
0.683373147671128,-64.1938977907198,5,"IRS + LLINs",30070088
0.696771438345858,-64.317791081825,4,"IRS",20050083
0.652319435771798,-64.2439792114927,6,"LLINs",30080161
0.763677813619384,-64.0447567589135,5,"IRS + LLINs",30030145
0.530231318230036,-64.1994870411291,5,"LLINs",40110035
0.785724326497372,-64.0830727526471,1,"IRS + LLINs",30040201
0.560322535726712,-64.1451064464352,3,"None",50100126
0.442494709253487,-64.0051313931639,5,"IRS + LLINs",30070008
0.62074274460999,-64.106618945315,3,"LLINs",20080185
0.424652411442057,-64.2913862708497,4,"LLINs",40080058
0.588660242718829,-63.9466597406408,8,"IRS + LLINs",30070032
0.540616824739562,-64.3446314028915,3,"LLINs",50080031
0.727273247858199,-64.3295764692304,2,"IRS + LLINs",20030062
0.608299792885889,-63.9897835550394,1,"None",30040245
0.560272586421898,-64.1792776107505,4,"LLINs",30060325
0.441296524900045,-64.0456728927853,3,"None",20120036
0.567241664333059,-64.037265218959,3,"None",20120132
0.45938283981877,-63.924055926766,5,"IRS + LLINs",30070133
0.496130347183805,-63.9359946354582,4,"None",20090169
0.745126894275691,-64.3049987248612,11,"LLINs",50060057
0.555097732914335,-64.0693376420467,7,"IRS + LLINs",30050044
0.550116251758803,-64.353936370559,2,"None",20110033
0.567530514029576,-64.1461129710897,3,"None",50020071
0.730059176736998,-64.0123991157598,5,"LLINs",50080017
0.359311156687075,-64.1980525232863,4,"LLINs",50050207
0.493900511014309,-63.941700942143,5,"LLINs",20090092
0.393460644815025,-64.0712635958191,6,"IRS + LLINs",50110076
0.725376915785585,-64.1739280333507,4,"LLINs",20070120
0.566863456647717,-63.991078808438,4,"IRS + LLINs",40040089
0.594443957483992,-64.0063871536385,4,"IRS",20020176
0.53275904914704,-64.176496906935,3,"IRS + LLINs",40090438
0.559354427693336,-64.2204940541351,5,"IRS + LLINs",20010093
0.406410183370625,-64.1143433704017,4,"None",20120580
0.368657884140885,-63.9809224995592,7,"IRS",10060032
0.365108350773325,-64.1049600772149,4,"None",50030057
0.389571624022556,-64.0782707805483,4,"IRS + LLINs",10060188
0.517504844750647,-64.0233310157806,4,"None",20120499
0.697629903177899,-64.0567672624149,6,"IRS + LLINs",30010238
0.689464550334331,-63.9784141132837,5,"IRS + LLINs",40070112
0.398658497060884,-64.3262136277314,4,"None",20120166
0.787943728602793,-64.094118306719,4,"None",20120103
0.419159499319094,-64.260366763867,4,"None",50100139
0.572969099631625,-64.1573166504029,4,"None",20090155
0.60911740999371,-64.2409757180444,5,"LLINs",40080112
0.774610473190283,-63.9551507866349,3,"IRS + LLINs",30050233
0.724033527335379,-64.1888026633879,6,"IRS",10070040
0.594780495301233,-64.114206364458,4,"IRS + LLINs",30010412
0.527837225390254,-64.3324392154315,1,"IRS + LLINs",30040000
0.600593681181949,-63.9442231420427,5,"IRS + LLINs",30030452
0.71353945714065,-64.0374328463897,5,"None",50070022
0.637240100088865,-64.1547622963948,5,"IRS + LLINs",30010030
0.401480477772158,-64.2869580575115,4,"None",30020229
0.441136112452468,-64.0398706069608,10,"LLINs",50060130
0.733982024151236,-64.0920066672657,5,"IRS + LLINs",20010076
0.570588411019805,-64.3413742615028,3,"IRS + LLINs",40070186
0.704770381989352,-64.3448636107043,1,"IRS + LLINs",40040053
0.723202159899992,-64.1637966592237,4,"None",20120416
0.488407026987967,-64.2873549622839,7,"IRS",10060012
0.456774594282253,-64.1475577854881,7,"LLINs",50050240
0.634093492420952,-63.9265780907966,5,"IRS + LLINs",40070231
0.523065420185501,-64.2679131617648,1,"None",50040266
0.753739674830566,-64.0479059974879,6,"IRS + LLINs",40070026
0.411198769267187,-64.3012453534471,5,"IRS + LLINs",30070144
0.425822635457163,-64.1320530220621,3,"IRS + LLINs",30050082
0.642248732338928,-63.9956765428275,4,"LLINs",40030057
0.438495595435075,-64.3117255159235,5,"LLINs",30060041
0.653981234076064,-63.9996372230669,4,"IRS + LLINs",20030319
0.58529527682446,-64.258056527397,1,"IRS",20050241
0.688715991214933,-64.325168376516,4,"IRS + LLINs",40050079
0.506235445785705,-64.2951301938782,4,"IRS",10080043
0.404773923231851,-64.0696061660526,4,"IRS + LLINs",30050032
0.535864542489158,-64.063717353774,5,"LLINs",20090049
0.599111892009313,-64.3089816201915,6,"None",20110070
0.688104030268292,-63.9276355270491,5,"None",10020121
0.432387270703618,-64.3028280791192,4,"IRS + LLINs",40080234
0.618835624717553,-63.9446210915316,5,"IRS",10080001
0.579809100114455,-64.0533911973503,3,"LLINs",40110010
0.776436138225946,-64.1130269530263,5,"LLINs",20090081
0.764699446061618,-64.2579008608734,4,"None",20120277
0.423529851006067,-64.21532232311,2,"None",50010051
0.493075299642116,-63.9905926066835,5,"LLINs",50050118
0.669199922674856,-63.9537632881633,15,"IRS",10060119
0.698443649214072,-64.1367202070729,4,"IRS + LLINs",20030040
0.584324015613922,-63.9688127962421,5,"LLINs",30020438
0.45678235677201,-64.0517152832035,3,"IRS + LLINs",40050028
0.429365353179584,-64.1779832036341,2,"LLINs",50060018
0.497057121904726,-64.2336120559536,4,"IRS",20070206
0.374896732577509,-63.9349057312267,5,"IRS",10040144
0.656260393424723,-64.3126444291333,5,"IRS + LLINs",30040026
0.690813888866026,-64.0624054294869,4,"None",50040332
0.466604965100325,-63.999567013634,5,"LLINs",50050088
0.564992289267656,-64.2714480427099,8,"IRS + LLINs",30040189
0.374602246281842,-64.10125903591,4,"IRS + LLINs",30030582
0.398916919043514,-64.2960335998506,4,"IRS + LLINs",30030279
0.758749632537239,-64.1861978971187,4,"IRS + LLINs",40080186
0.631746911295975,-64.2612630380582,4,"None",20120429
0.643261108189897,-64.1312093094517,5,"IRS",10060260
0.562311613054501,-64.0666333175846,6,"IRS + LLINs",50140032
0.480658158977801,-63.9600501185227,5,"None",20090359
0.780306263972653,-64.2189594873627,4,"IRS",10080011
0.365045668673785,-64.2596182316252,5,"None",20060226
0.434523597367083,-64.2292337591055,3,"None",20120678
0.7922332375049,-64.2667043874142,3,"IRS",20050140
0.714895232600613,-64.3134631211995,2,"IRS",20050075
0.804946249597454,-64.2482580472674,3,"IRS + LLINs",20030379
0.472105005721494,-63.9528028324512,5,"None",50090100
0.61689744070747,-64.3434271974579,4,"None",10020030
0.387217939675131,-64.1429859759239,4,"None",20060080
0.716042054199429,-64.0113029174967,4,"IRS",20040246
0.751304065350418,-63.9914190190163,4,"None",20120350
0.755387026622665,-64.1092832935629,4,"IRS",20050043
0.359755255339692,-64.2599274309799,3,"IRS",20020123
0.463391993776979,-64.1066757857128,4,"LLINs",10050105
0.62819754846113,-64.3069258640999,10,"None",30040151
0.518040641864451,-64.1514288506423,1,"IRS + LLINs",40050034
0.674116360072994,-64.3266694650615,4,"None",50020006
0.373604784072628,-64.231494707006,3,"IRS + LLINs",30030543
0.650675986829583,-64.0640429285684,4,"LLINs",20080211
0.458567163071192,-64.2764660819048,4,"IRS + LLINs",40040094
0.477615780464608,-64.190976373114,6,"IRS",20040040
0.684906953936401,-64.0072185285055,4,"IRS",20020079
0.434948585972668,-64.2660218700075,3,"None",20060130
0.528362130015325,-64.3342273102656,4,"None",50040120
0.662920820127275,-64.0183125240256,4,"None",20090263
0.541675994410851,-64.0670004887899,5,"LLINs",10030148
0.59887004452703,-64.13863700665,2,"None",50020074
0.559693486584006,-64.2724718288361,4,"IRS + LLINs",50110112
0.41188923347024,-64.284322849311,9,"LLINs",50130119
0.36869995768698,-64.0935742054816,6,"LLINs",30060019
0.42927156029139,-64.3514195442208,5,"LLINs",10010086
0.714509176425006,-64.2655174194346,1,"IRS",20050219
0.418791755588247,-63.9977206962845,8,"IRS",10050180
0.388184910718863,-64.2335673945098,5,"IRS + LLINs",50140066
0.36752417457806,-64.361622298354,4,"IRS",20050185
0.542667370825578,-63.9357169399517,8,"None",20060189
0.739350314196577,-64.3293447051677,4,"LLINs",40020045
0.503521892102729,-64.0319170687755,3,"None",50100129
0.554849628685336,-63.9922835097474,7,"IRS",10070102
0.540906709903171,-64.3616724230323,6,"IRS + LLINs",20010104
0.513099299138705,-63.9846917941675,3,"IRS + LLINs",40050057
0.772603576347475,-64.1209846002268,7,"IRS + LLINs",40040007
0.773596493849354,-64.2158557225329,2,"IRS + LLINs",40070197
0.480897666616995,-64.2221556344495,5,"None",50040110
0.683170995296499,-64.0809284964568,4,"IRS + LLINs",20010027
0.452303855670574,-64.3112810243754,5,"IRS + LLINs",40070201
0.778188034857556,-64.228723674867,5,"LLINs",30060164
0.383616501435109,-64.1062161455143,3,"LLINs",50020070
0.799999357636489,-64.0268841608567,5,"IRS + LLINs",30030332
0.44934150461548,-64.120351310349,5,"LLINs",40010019
0.498136077985579,-64.0590509632344,2,"IRS + LLINs",20030395
0.409504300208955,-64.2016316080809,3,"None",20110106
0.617812570330334,-63.960418645101,4,"LLINs",40080381
0.651204086268648,-63.9293421637879,4,"None",50020088
0.803375985409502,-64.0237769198617,4,"LLINs",40010001
0.442070822922706,-64.363345617728,4,"IRS + LLINs",40090023
0.72244431492818,-64.1334592938603,3,"IRS",20040079
0.633685459444794,-64.0089333607253,5,"LLINs",50060150
0.798620166021131,-64.2754207546509,4,"None",10020043
0.553658389711945,-64.1948668630087,5,"LLINs",20080276
0.680862559801731,-64.1245497524624,8,"IRS + LLINs",30070157
0.388819046476982,-64.0336154413365,6,"IRS",20020049
0.638591176564973,-64.2187183794805,4,"IRS + LLINs",30070087
0.451313563701277,-64.2225099807407,3,"LLINs",30060098
0.768674419747187,-64.177992101501,4,"None",20110187
0.720397145620648,-64.2444085485171,3,"IRS + LLINs",30030205
0.74029080494974,-64.0868430072283,4,"None",20110080
0.722561669333603,-64.3492319549005,5,"LLINs",30060278
0.542536644285066,-64.0956518979962,4,"None",40070185
0.794990434138364,-64.1810074475147,2,"IRS + LLINs",30030566
0.579591585532007,-64.3492224152687,5,"IRS + LLINs",40070034
0.579234830883147,-63.9213814631963,5,"IRS",10080023
0.509370230691096,-64.0866308899386,4,"IRS + LLINs",30031651
0.384990564903102,-63.991007837047,5,"None",30020002
0.7633761256202,-64.1900006229674,3,"IRS + LLINs",30050266
0.454256484514765,-63.939543412359,6,"LLINs",40110031
0.488735834722961,-64.1984182840563,7,"LLINs",20080092
0.651293748930004,-63.9995418132195,4,"None",50040305
0.609887193514093,-64.3656157342973,4,"IRS",10050056
0.792172094604697,-63.9752856878602,4,"IRS + LLINs",20030069
0.401919771723223,-64.3355622567006,4,"None",30020174
0.599607471090423,-64.000979154555,6,"IRS + LLINs",30070042
0.766982790488657,-64.1048825929436,4,"IRS + LLINs",40070188
0.747868046675356,-64.061321705312,7,"LLINs",50130066
0.762102959101877,-64.0471721688878,8,"None",50090045
0.70545505563137,-64.2426950339132,5,"LLINs",20090089
0.429955283837552,-64.0654807022221,5,"IRS",20040002
0.409330887001654,-64.2350669148794,5,"LLINs",50060024
0.407938644389689,-64.1116382457,1,"IRS + LLINs",30050326
0.549278041095188,-64.3442281038588,2,"IRS + LLINs",40070262
0.704827309396361,-64.2122876323798,4,"IRS + LLINs",30040119
0.761904394206977,-64.1446869375693,4,"IRS + LLINs",40070046
0.546754927985949,-64.1293668691213,6,"IRS",10080044
0.71929764244525,-64.0014007272628,3,"None",20120240
0.565632776477928,-64.1389898094122,6,"IRS + LLINs",30010346
0.66033007086972,-63.9864556552723,4,"IRS",50140059
0.696421416278232,-64.1012114295216,4,"None",50090112
0.662472646518879,-64.1265711819473,5,"LLINs",30060375
0.736445618616207,-64.0864149522653,4,"None",50100088
0.494999806110428,-64.2373487464106,3,"IRS + LLINs",40070049
0.436980388562598,-64.1133529796467,4,"None",20120117
0.396779202737694,-63.9186371574857,4,"None",20120340
0.361317231386002,-63.9542441522255,4,"None",50090122
0.761145478738598,-64.0223133727255,5,"IRS + LLINs",20030373
0.713235395527445,-63.988803938991,5,"LLINs",40080104
0.389685386753104,-63.9534216589689,2,"LLINs",30060145
0.400483220915377,-64.0982396277628,1,"IRS + LLINs",40050014
0.432982770943267,-64.2031912818191,6,"LLINs",40060008
0.592796252460538,-64.0323764902978,3,"None",10052033
0.685875529099365,-64.1504610775103,3,"LLINs",40060081
0.407904650905958,-64.3667039213547,6,"IRS + LLINs",20030242
0.401247320746088,-64.0656478732121,5,"LLINs",30020200
0.603420326162239,-64.1870442831375,4,"None",20120294
0.485517219773594,-63.9395014976352,2,"LLINs",10030143
0.553049632703743,-64.3083421740278,4,"IRS + LLINs",40070081
0.408006290291721,-64.1987236208654,4,"None",20120358
0.769796517248735,-63.9635222289068,5,"LLINs",10050139
0.684648269337585,-64.0069987477944,6,"IRS",50140018
0.56254960498718,-64.140746204586,5,"IRS + LLINs",30050363
0.657497336424191,-64.3607205123686,4,"LLINs",50140005
0.484605437458308,-64.256133195222,4,"IRS + LLINs",30030062
0.653502284346845,-64.2310358596005,5,"None",20060181
0.523602839247911,-64.0707913978375,4,"None",20120354
0.656870811606153,-64.3246462793496,12,"IRS",20040203
0.540564965279563,-63.9340471515706,4,"None",20120203
0.675067519923328,-63.978222228945,4,"LLINs",30020421
0.481263791545596,-64.2405520682796,6,"None",50070049
0.687402764820947,-64.1730621867222,5,"IRS",20020174
0.613626627854642,-64.2152874082276,5,"LLINs",50060050
0.365687227744047,-64.2120526916912,2,"None",20090266
0.51802900253472,-64.2318534120332,6,"IRS + LLINs",30070145
0.553233753288928,-63.9569189783677,5,"None",20120275
0.536365591307456,-64.241130331566,6,"IRS + LLINs",40070031
0.600045868433752,-63.9779412951427,11,"IRS + LLINs",50110103
0.743480254924386,-64.0009849907452,3,"IRS + LLINs",40040132
0.699551493809474,-64.2857220541443,6,"IRS + LLINs",40080147
0.384122328001142,-64.2665147704909,5,"IRS",10040102
0.407589025161028,-64.0690337977945,3,"LLINs",10030006
0.494197237518331,-64.1580204495674,4,"None",20120014
0.493697282479665,-64.3194826376663,4,"IRS + LLINs",30060158
0.684534439065175,-64.3032624018563,2,"IRS + LLINs",20030053
0.418387846336448,-64.2259969415994,4,"LLINs",40060015
0.79500130523185,-64.0953508960104,5,"IRS + LLINs",30070308
0.739697601762684,-63.9422793762799,2,"None",20060092
0.617681708181705,-64.1785132228576,19,"None",50090019
0.759862123362527,-63.9515258073144,4,"None",50040171
0.358862253647541,-64.3239867645828,4,"IRS + LLINs",30010176
0.708057092875116,-63.9786432725298,4,"None",50120062
0.76357258455144,-64.2515317113483,9,"LLINs",50050233
0.404552801767121,-64.2409260267331,4,"LLINs",10010099
0.564482280769603,-64.2941587544323,4,"IRS",10080055
0.658413477811568,-64.3553767648662,4,"LLINs",40080177
0.564316270632862,-64.3246725670621,4,"None",50040015
0.748806397169535,-64.3148799874145,7,"IRS",50140072
0.535322160463285,-64.2814143202819,3,"LLINs",30080217
0.609916579153531,-63.9951734820285,3,"LLINs",20070023
0.649115047823545,-64.3619725525158,4,"None",50120026
0.483328553830223,-64.1951330287726,6,"IRS",10070083
0.756429959817555,-63.9569910330713,7,"IRS + LLINs",20030217
0.417136488498172,-64.3619854337508,3,"IRS + LLINs",30010274
0.605641351894324,-64.2293858948211,9,"IRS + LLINs",30080059
0.46858472353892,-64.1758480727969,3,"IRS + LLINs",40070033
0.38780893275401,-64.1156539573553,4,"IRS",20050179
0.698188416801502,-63.9541038348842,3,"None",50120053
0.627792088263584,-64.1360186026414,5,"IRS",20040157
0.504650236597276,-64.0355132760748,2,"None",20120489
0.764411386835624,-64.090556595094,4,"IRS + LLINs",30010091
0.620431016575889,-64.2761892651935,5,"IRS",20040083
0.780970896140186,-64.1397274027042,14,"IRS + LLINs",30070250
0.761108197623251,-64.3413649109709,6,"None",20060188
0.528962927361875,-64.0199894840426,4,"IRS + LLINs",30080148
0.67829308780401,-64.2768661455784,2,"IRS + LLINs",40080228
0.727331853533659,-63.9827944171284,6,"LLINs",50110135
0.766284551629922,-64.1374378207007,1,"IRS",10050138
0.413490296747443,-64.2555258793587,5,"None",20060233
0.37466069222709,-64.0027606319428,5,"IRS",20020070
0.799803390900839,-64.338689089511,4,"IRS + LLINs",30010103
0.530094150356353,-64.3570719096194,1,"IRS + LLINs",30040274
0.674947330227986,-64.1002819301806,4,"IRS",10060153
0.591562944555714,-63.9873800131528,4,"None",20120415
0.528932853718372,-64.1650836899772,4,"None",50100158
0.678331752583628,-64.1426606706729,6,"None",50030088
0.751130800651311,-64.2744279261543,7,"LLINs",30060185
0.409229665032991,-64.0465287030672,6,"None",20120407
0.51999184540754,-64.127253734594,7,"IRS + LLINs",30020347
0.710478163759627,-64.3467356981803,5,"LLINs",30020427
0.451770221574425,-63.9982716119342,5,"IRS + LLINs",40050108
0.634259649073193,-64.2551316745295,2,"IRS",10060204
0.524798205826171,-64.1339795929524,4,"None",10020022
0.626740972959386,-64.2215744393287,4,"IRS",20020105
0.608940508207264,-64.3191543532796,7,"IRS + LLINs",50110036
